condition,p_semantic,p_social,rep,period,repertoire_size,max_level,mean_score
random,0.0,0.0,2,75,14,7,80.3
random,0.0,0.0,2,76,11,5,70.6
random,0.0,0.0,2,77,11,5,71.5
random,0.0,0.0,2,78,11,5,75.4
random,0.0,0.0,2,79,12,5,81.5
random,0.0,0.0,2,80,12,5,84.3
random,0.0,0.0,2,81,12,5,87.6
random,0.0,0.0,2,82,12,5,90.6
random,0.0,0.0,2,83,12,5,87.3
random,0.0,0.0,2,84,12,5,90.6
random,0.0,0.0,2,85,12,5,89.1
random,0.0,0.0,2,86,12,5,87.3
random,0.0,0.0,2,87,13,6,98.5
random,0.0,0.0,2,88,13,6,99.4
random,0.0,0.0,2,89,13,6,102.4
random,0.0,0.0,2,90,13,6,100.3
random,0.0,0.0,2,91,13,6,101.5
random,0.0,0.0,2,92,14,6,105.6
random,0.0,0.0,2,93,14,6,106.2
random,0.0,0.0,2,94,14,6,109.0
random,0.0,0.0,2,95,14,6,109.6
random,0.0,0.0,2,96,14,7,103.3
random,0.0,0.0,2,97,14,7,98.5
random,0.0,0.0,2,98,14,7,102.4
random,0.0,0.0,2,99,14,7,106.9
random,0.0,0.0,2,100,15,7,116.0
random,0.0,0.0,2,101,15,7,108.2
random,0.0,0.0,2,102,15,7,107.9
random,0.0,0.0,2,103,14,7,94.9
random,0.0,0.0,2,104,15,7,94.9
random,0.0,0.0,2,105,14,7,74.7
random,0.0,0.0,2,106,14,7,74.1
random,0.0,0.0,2,107,9,4,64.5
random,0.0,0.0,2,108,9,4,69.6
random,0.0,0.0,2,109,9,4,71.7
random,0.0,0.0,2,110,9,4,75.6
random,0.0,0.0,2,111,9,4,78.6
random,0.0,0.0,2,112,9,4,80.4
random,0.0,0.0,2,113,10,5,89.2
random,0.0,0.0,2,114,11,6,96.5
random,0.0,0.0,2,115,11,6,98.0
random,0.0,0.0,2,116,10,5,86.2
random,0.0,0.0,2,117,11,5,97.5
random,0.0,0.0,2,118,12,5,97.5
random,0.0,0.0,2,119,13,6,99.9
random,0.0,0.0,2,120,13,6,100.8
random,0.0,0.0,2,121,13,6,102.9
random,0.0,0.0,2,122,13,6,104.4
random,0.0,0.0,2,123,11,5,108.9
random,0.0,0.0,2,124,13,6,117.5
random,0.0,0.0,2,125,15,7,130.9
random,0.0,0.0,2,126,16,7,128.2
random,0.0,0.0,2,127,16,7,133.7
random,0.0,0.0,2,128,16,7,137.9
random,0.0,0.0,2,129,17,8,155.7
random,0.0,0.0,2,130,14,6,94.0
random,0.0,0.0,2,131,14,6,94.9
random,0.0,0.0,2,132,14,6,96.7
random,0.0,0.0,2,133,14,6,106.4
random,0.0,0.0,2,134,14,6,106.5
random,0.0,0.0,2,135,14,6,98.9
random,0.0,0.0,2,136,15,7,105.3
random,0.0,0.0,2,137,15,7,103.8
random,0.0,0.0,2,138,15,7,92.9
random,0.0,0.0,2,139,15,7,98.7
random,0.0,0.0,2,140,16,7,105.4
random,0.0,0.0,2,141,16,7,107.5
random,0.0,0.0,2,142,17,7,120.1
random,0.0,0.0,2,143,17,7,119.2
random,0.0,0.0,2,144,12,6,79.7
random,0.0,0.0,2,145,12,6,83.9
random,0.0,0.0,2,146,13,6,94.8
random,0.0,0.0,2,147,13,6,95.1
random,0.0,0.0,2,148,14,6,105.8
random,0.0,0.0,2,149,14,6,110.7
random,0.0,0.0,2,150,14,6,102.7
random,0.0,0.0,3,0,0,0,0.0
random,0.0,0.0,3,1,4,1,24.6
random,0.0,0.0,3,2,6,3,35.4
random,0.0,0.0,3,3,7,3,45.3
random,0.0,0.0,3,4,7,3,51.9
random,0.0,0.0,3,5,7,3,55.8
random,0.0,0.0,3,6,8,3,60.6
random,0.0,0.0,3,7,8,3,63.6
random,0.0,0.0,3,8,10,4,67.2
random,0.0,0.0,3,9,10,4,70.8
random,0.0,0.0,3,10,10,4,72.6
random,0.0,0.0,3,11,10,4,75.3
random,0.0,0.0,3,12,10,4,78.0
random,0.0,0.0,3,13,11,5,81.7
random,0.0,0.0,3,14,11,5,83.5
random,0.0,0.0,3,15,11,5,87.1
random,0.0,0.0,3,16,11,5,87.4
random,0.0,0.0,3,17,11,5,89.5
random,0.0,0.0,3,18,11,5,91.3
random,0.0,0.0,3,19,11,5,93.4
random,0.0,0.0,3,20,11,5,91.9
random,0.0,0.0,3,21,11,5,94.0
random,0.0,0.0,3,22,11,5,94.9
random,0.0,0.0,3,23,11,5,96.8
random,0.0,0.0,3,24,11,5,98.3
random,0.0,0.0,3,25,11,5,95.6
random,0.0,0.0,3,26,11,5,91.7
random,0.0,0.0,3,27,11,5,91.4
random,0.0,0.0,3,28,11,5,88.9
